Production Food Name,Ingredians,Quantity
Production Food Name 1,RM Name 1,120.0
Production Food Name 1,RM Name 2,12.5
Production Food Name 1,RM Name 3,2.0
Production Food Name 1,RM Name 4,2.0
Production Food Name 1,RM Name 5,2.0
Production Food Name 1,RM Name 6,1111.0
Production Food Name 1,RM Name 7,50.0
Production Food Name 2,RM Name 5,50.0
Production Food Name 2,RM Name 8,50.0
Production Food Name 2,RM Name 9,880.0
Production Food Name 2,RM Name 7,20.0
Production Food Name 3,RM Name 10,3780.0
Production Food Name 3,RM Name 11,100.0
Production Food Name 4,RM Name 10,1000.0
Production Food Name 4,RM Name 12,250.0
Production Food Name 4,RM Name 13,80.0
Production Food Name 4,RM Name 14,25.0
Production Food Name 4,RM Name 15,15.0
Production Food Name 4,RM Name 16,15.0
Production Food Name 4,RM Name 17,15.0
Production Food Name 4,RM Name 5,15.0
Production Food Name 5,RM Name 2,0.43
Production Food Name 5,RM Name 18,4.25
Production Food Name 5,RM Name 9,2.13
Production Food Name 5,RM Name 19,2.13
Production Food Name 5,RM Name 20,3.83
Production Food Name 5,RM Name 5,0.3
Production Food Name 5,RM Name 17,0.3
Production Food Name 5,RM Name 21,0.09
Production Food Name 5,RM Name 7,2.55
Production Food Name 5,RM Name 22,94.44
Production Food Name 6,RM Name 22,1111.0
Production Food Name 6,RM Name 23,40.0
Production Food Name 7,RM Name 24,110.0
Production Food Name 7,RM Name 5,0.29
Production Food Name 7,RM Name 19,0.98
Production Food Name 7,RM Name 25,0.61
Production Food Name 7,RM Name 16,0.37
Production Food Name 7,RM Name 26,1.95
Production Food Name 7,RM Name 27,0.1
Production Food Name 7,RM Name 2,0.39
Production Food Name 8,RM Name 19,500.0
Production Food Name 8,RM Name 10,3780.0
Production Food Name 8,RM Name 28,100.0
Production Food Name 9,RM Name 22,1000.0
Production Food Name 9,RM Name 19,50.0
Production Food Name 9,RM Name 29,75.0
Production Food Name 9,RM Name 17,15.0
Production Food Name 10,RM Name 30,1000.0
Production Food Name 10,RM Name 19,50.0
Production Food Name 10,RM Name 29,75.0
Production Food Name 10,RM Name 4,5.0
Production Food Name 10,RM Name 31,5.0
Production Food Name 10,RM Name 3,5.0
Production Food Name 10,RM Name 5,15.0
Production Food Name 10,RM Name 17,15.0
Production Food Name 10,RM Name 11,20.0
Production Food Name 11,RM Name 14,5.0
Production Food Name 11,RM Name 32,30.0
Production Food Name 11,RM Name 33,75.0
Production Food Name 11,RM Name 15,5.0
Production Food Name 11,RM Name 5,2.0
Production Food Name 11,RM Name 17,2.0
Production Food Name 11,RM Name 2,5.0
Production Food Name 11,RM Name 6,1111.0
Production Food Name 12,RM Name 30,1000.0
Production Food Name 12,RM Name 33,75.0
Production Food Name 12,RM Name 15,5.0
Production Food Name 12,RM Name 32,30.0
Production Food Name 12,RM Name 14,5.0
Production Food Name 12,RM Name 2,5.0
Production Food Name 12,RM Name 5,10.0
Production Food Name 12,RM Name 17,5.0
Production Food Name 13,RM Name 34,97.0
Production Food Name 13,RM Name 9,4.5
Production Food Name 13,RM Name 19,4.5
Production Food Name 13,RM Name 18,9.0
Production Food Name 13,RM Name 20,3.9
Production Food Name 13,RM Name 5,0.3
Production Food Name 13,RM Name 17,0.3
Production Food Name 13,RM Name 21,0.09
Production Food Name 13,RM Name 2,0.44
Production Food Name 13,RM Name 7,2.61
Production Food Name 14,RM Name 35,1000.0
Production Food Name 14,RM Name 13,400.0
Production Food Name 14,RM Name 11,315.0
Production Food Name 15,RM Name 10,730.0
Production Food Name 15,RM Name 12,200.0
Production Food Name 15,RM Name 36,50.0
Production Food Name 15,RM Name 17,10.0
Production Food Name 15,RM Name 16,10.0
Production Food Name 16,RM Name 37,1500.0
Production Food Name 16,RM Name 38,400.0
Production Food Name 16,RM Name 19,100.0
Production Food Name 16,RM Name 15,6.0
Production Food Name 16,RM Name 39,200.0
Production Food Name 16,RM Name 5,25.0
Production Food Name 16,RM Name 11,75.0
Production Food Name 17,RM Name 40,1000.0
Production Food Name 17,RM Name 41,3000.0
Production Food Name 17,RM Name 9,500.0
Production Food Name 17,RM Name 19,250.0
Production Food Name 17,RM Name 42,150.0
Production Food Name 17,RM Name 25,100.0
Production Food Name 17,RM Name 15,75.0
Production Food Name 17,RM Name 8,100.0
Production Food Name 17,RM Name 11,50.0
Production Food Name 17,RM Name 43,7.5
Production Food Name 17,RM Name 7,500.0
Production Food Name 17,RM Name 10,3000.0
Production Food Name 18,RM Name 44,1000.0
Production Food Name 18,RM Name 17,50.0
Production Food Name 18,RM Name 2,15.0
Production Food Name 18,RM Name 29,40.0
Production Food Name 18,RM Name 19,75.0
Production Food Name 18,RM Name 9,150.0
Production Food Name 18,RM Name 5,15.0
Production Food Name 18,RM Name 45,40.0
Production Food Name 19,RM Name 46,200.0
Production Food Name 19,RM Name 10,800.0
Production Food Name 20,RM Name 34,100.51
Production Food Name 20,RM Name 9,2.26
Production Food Name 20,RM Name 19,2.26
Production Food Name 20,RM Name 18,4.52
Production Food Name 20,RM Name 5,0.9
Production Food Name 20,RM Name 17,0.9
Production Food Name 20,RM Name 21,0.09
Production Food Name 20,RM Name 2,0.9
Production Food Name 20,RM Name 7,3.75
Production Food Name 20,RM Name 47,6.88
Production Food Name 21,RM Name 48,1000.0
Production Food Name 21,RM Name 49,20.0
Production Food Name 21,RM Name 50,20.0
Production Food Name 21,RM Name 19,20.0
Production Food Name 21,RM Name 9,40.0
Production Food Name 21,RM Name 16,10.0
Production Food Name 21,RM Name 5,5.0
Production Food Name 21,RM Name 17,5.0
Production Food Name 21,RM Name 7,25.0
Production Food Name 21,RM Name 2,20.0
Production Food Name 21,RM Name 8,15.0
Production Food Name 22,RM Name 25,6.2
Production Food Name 22,RM Name 19,10.0
Production Food Name 22,RM Name 51,5.0
Production Food Name 22,RM Name 5,3.0
Production Food Name 22,RM Name 26,25.0
Production Food Name 22,RM Name 52,4.0
Production Food Name 22,RM Name 50,4.0
Production Food Name 22,RM Name 49,4.0
Production Food Name 22,RM Name 53,2.0
